formulas
K2UF6
CdCl3NH4
Fe2SmSi2
Cd2Dy
MgTiO4B
Na2GeF6
PrN
Co2ZnIn5
Al3Y2Si2
Na2Te2O7H4
Cs2PtF6
AgBi2Se3Cl
Li2PrAs2
VPrO3
ScFeSr2AsO3
ITe
CePt2Ge2
RbAuC2
ZnBa2N2
ScAuO2
GaCl2
Co3NdP2
UTe2
SiC
NdPt2Si2
TaO4B
Ni4GdB
RhSnDy
DySb2
SO4C2H6
SrCd2Ge2
CoSeO4H2
TiO3B
CdI2
ScNbO4
Re2P
LiCu2TbP2
NaMnRb2O4
Na2AuBi
Ni2Ba2ClF7
Zn2YbP2
USi2
VRbBr3
ZnNdTl
MnNiSi
LiNbUO6
PtO2
NiDyB4
MgNiSrH4
ZrBaO3
Co2LuGe2
NaSn
CuBrS3P4
ZrTe
HgIO3N
UTeAs
InHo2Ge2
Ni2SiO4
CoSbS
CuRbPdSe5
BrClCH2
K2MnF6
I3AsF6
NiAsS
TbPt2
CuAgS
ZnRhF6
SrTl
BaBrF
ZrGdSb
VCsPO5
UC2
CrThSe3
CaIr2P2
Na2AuBi
SrRu2As2
CaAgBi
Cs2Pt
EuN
AgSnF6
USb
MnAgO4
Rb2Te
AgSnHo
AuTe2
CaTe
CeIrSb
RbI3Ge
SiO2
BiPu
UNB
FeCeAsO
InErPt
Li4TeO5
NiS2
AlMnNi2
PrGe
Co2Si
KAuN2C2
DyGe
V2Zn2O7
SrPd2Sb2
MgCu2O3
LiAlSi2O7H2
FeBiO3
SrSe2O6H2
TaS3
Cs2O6CH6
UH3
Cu2O5CH4
K2RbPdF5
CuInTb
SF6
Ga2Sr
ScRu
LiBiF6
Sr2Sn
MgHo2Se4
LiSn2Nd
V2MnAg2BaO8
CuNdSe2
Fe3P
RuDySi
Cu3SnAu
RhInEu
CsAuCl3
BaHg2
TiCdO3
Cu2InTm2
CuLuPbSe3
In2EuTe4
ScPdSb
ZnO
NaNbO2
Ni4YbP2
MgLu
NaAlSi3O8
NaKNbPrO5
KCuCeTe4
VGe3
Hg2TeBr3
SeH2
AlAuO2
ZnYSn
RhSmBi
VLaO4
TaON
Cu2Y
PdLaP
CdI2
ZnEu
SmS3B
SnCsI3
Cs2Te
CuDyPb
MnSr2NbO6
AlB2
Fe2N
IrAs3
HgTlAsS3
Li2AgSb
Li2Pd
Mg2NiH4
K2Sn2O3
CoDyO3
CsLaHgSe3
AlCo2Tb2
CaFeSi2O6
CdI2
NBH6
PrN2B
ErTe
FeBr3
KHoW2O8
KNC
SrIn4
FeUSi
VRbO3
Sn3Eu
MoTmC2
ZnPt
Cr3Nb3N
Co3GdP2
Cu2SmO4
Fe2UGe2
KSrPO4
TiCu2Rb2S4
Sn2Ho2O7
SrPt2As2
VS2
USb
TiS6P2
Cu3Ba2GdO6
InBa2SbO6
SeO3
Cu2La
BeKPO4
NiWO4
NbSn2
NiSO4
Sn3Nd5
FePt
LiCaPb
Na2SiO3
MgAlLa3S7
AlRb3O3
ZnSnTb
FeNdAsO
YGe2
MoI2
TiFeSb
LiFeP2O7
Ca2RuH6
MnSn2
Cu3Ba2TmO6
Ni3Tl2S2
TlSe3B
NaK2InF6
Al2Zn2Pr
Na3In2Au
Ni3Te2
SrY2S4
PdBaAs2
CoRbCl3
SnO2
AgNdPb
SiO2
YbBrO
Na2CeO3
LiNbO3
Na2PrO3
Fe2Ho
PF6N3CH6
LiO2H3
K3As2B
Co4SmB4
CeIr3Si2
VP2O7
