formulas,bandgap
Na3Mn1As1C1O7,2.3828
Na2Mn1As1C1O7,0.6423
Na1Mn1As1C1O7,1.0809
Na2Ni1As1C1O7,1.1143
Na2As1P1C1O7,4.1675
Na2Sb1As1C1O7,3.2261
Na1Sn1As1C1O7,1.7495
Na3Sn1As1C1O7,2.4229
Na3V1As1C1O7,1.2655
Na1V1As1C1O7,2.0022
Ca1Co1As1H1O5,2.0448
Ca1Cu1As1H1O5,0.2831
Ca1Mg1As1O4F1,3.7523
Ca1Fe1Sb1As2O7,1.8444
Ca1Ni1As1H1O5,2.4759
Ca1Zn1As1H1O5,2.622
Ca1Sb1As2Se1O7,0.4207
Cs2Ce1As1S3Cl2,0.1059
Cu1As2Pb6Cl7O6,2.2101
As1P1Cl3O1F5,4.5067
As1H1Pb4Cl4O4,3.1812
As2Pb4S6I1Cl1,1.829
K1Co2As2H1O8,2.0013
Cs1Sc1As1O4F1,2.2704
Cs1Sc1As2H2O8,3.6849
Zn1Cu1As1H1O5,0.3267
Nd5Fe5As5O4F1,0.1198
Li1As1H2O1F6,4.1762
Li1As1H6O3F6,3.7843
Rb1Sc1As1O4F1,4.0481
Zn1Hg1As1H1O5,1.3969
Sr1Mo1As1H3O8,2.9342
Na1Zn1As1H4O6,3.0309
Zn1As1H1Pb1O5,3.2302
Sr1La1Tl1As2O8,3.5481
Mg1Sb1As2Se1O7,0.5017
Zn1Sb1As2Se1O7,0.4229
K1Ba4Au1C4O4,2.6467
Na1H4Au1Br4O2,0.9742
H3Au1C2N1Cl1,3.8047
K1Ni1Au3C6N6,1.3539
K1Au1C2S2N2,2.2406
Rb1Au1C2S2N2,2.4942
K1H2Au1Cl4O2,0.5065
K6Na1Au2I1O8,1.8901
Ba1Ca1B1O3F1,3.8701
Ba2Gd1B2Cl1O6,3.1318
Ba2Y1B2Cl1O6,4.0585
Ba1Ga1B1O3F2,4.9647
Ba1Zn1B1O3F1,3.742
Cs1Be2B1O3F2,6.0015
K1Be2B1O3F2,6.0552
K1Be2B1O3F2,5.9928
Na1Be2B1O3F2,5.9419
Rb1Be2B1O3F2,5.9642
Sr2Li1Be1B3O8,4.7198
Ca1Ga1Bi1B2O7,1.2817
Na3Bi1B1P1O7,3.6301
Na2Bi1B1P1O7,0.0292
Na2Bi1B1S1O7,3.0667
Na2Si1Bi1B1O7,0.0745
Ca3B1C1N1Cl2,2.1064
Fe1B2C6O6F8,4.5385
B1H6C1N3F4,5.6634
K1B1C3N3F1,5.7453
Li1B1C2O4F2,3.7236
K1B1H4C2N8,4.7975
B1H5C4N4O2,0.0069
B1H5C1S1N2,3.9122
Ca1Si1B1H1O5,5.3854
K1Zn2B1Cl2O3,3.8404
Li3Co1Si1B1O7,0.0252
Na3Co1B1P1O7,0.3669
Na3Co1B1S1O7,2.0964
Li3Cr1B1P1O7,3.1696
Li3Cr1Si1B1O7,1.032
Na3Cr1B1P1O7,2.8333
Na3Cr1Si1B1O7,0.9356
Cs3Na1Li2B2O6,3.454
Na2Cu1B1S1O7,0.9653
Na3Cu1B1S1O7,0.6301
Fe1B1N3O3F4,1.3388
Li1B1H2O1F4,7.129
Mg3B1H2O5F1,4.0103
B1H2S3N3F4,2.3506
B1S2N2O1F7,4.937
Li2Mn1Fe1B2O6,3.1446
Li2Mn1Fe1B2O6,3.105
Li2Mn1Fe1B2O6,3.1275
Li2Mn1Fe1B2O6,3.1508
Li2Mn1Fe1B2O6,2.6394
Li2Mn1Fe1B2O6,3.0795
Li2Mn1Fe1B2O6,3.0498
Li2Mn1Fe1B2O6,2.6796
Li2Mn1Fe1B2O6,2.6835
Li2Mn1Fe1B2O6,2.6787
Li2Mn1Fe1B2O6,2.7044
Li2Mn1Fe1B2O6,2.7177
Li2Mn1Fe1B2O6,2.7141
Li2Mn1Fe1B2O6,2.7056
Li2Mn1Fe1B2O6,2.7149
Li2Mn1Fe1B2O6,3.0889
Li2Mn1Fe1B2O6,3.1309
Li2Mn1Fe1B2O6,3.0424
Li2Mn1Fe1B2O6,3.1151
Li2Mn1Fe1B2O6,3.0858
Li2Mn1Fe1B2O6,3.0617
Li2Mn1Fe1B2O6,3.073
Li2Mn1Fe1B2O6,3.0258
Li2Mn1Fe1B2O6,3.148
Li3Fe1B1P1O7,2.3324
Li2Fe1B1P1O7,0.2266
Na3Fe1B1P1O7,2.096
Na2Fe1B1P1O7,0.4738
Na3Fe1B1S1O7,2.6907
K2B6H5N1O2,1.7886
Mg1B1P1H6O8,5.3032
Na1Si2B1H2O7,4.0496
K2Li1B1P2O8,5.3944
Li2Mn1B1P1O7,0.7383
Li3Mn1B1P1O7,1.1598
Li3Mn1Si1B1O7,1.5079
Na1Li2B1P2O8,5.8333
Li3V1B1P1O7,2.1828
Li2V1B1P1O7,1.7224
Li3Si1Sn1B1O7,3.5191
Li3V1Si1B1O7,1.5995
Na3Mn1B1P1O7,1.4831
Na2Mn1B1P1O7,0.2533
Na3Mn1B1S1O7,2.4281
Na3Mn1Si1B1O7,1.1301
Na3Ni1B1P1O7,0.2089
Na3Ni1B1S1O7,2.6898
Na3B1Sb1P1O7,3.5102
Na2Sn1B1P1O7,1.8592
Na3V1B1P1O7,2.0249
Na2V1B1P1O7,1.4714
Na2Si1B1Sb1O7,2.1623
Na3Si1Sn1B1O7,2.8195
Na3V1Si1B1O7,1.5682
Rb1Zn1B1P2O8,5.0408
Ba1Be1P1O4F1,6.0427
Ba2Be1S1O4F4,3.8258
K1Ba1Bi1Te1O6,1.6255
Ba1La1Mg1Bi1O6,1.2852
Ba1Sr1La1Bi1O6,1.8732
