formulas,bandgap
Ca1B2H2,0.0186
Ca3B1N3,0.5682
Ca3B2N4,2.4178
Ca1B2O4,6.0203
Ca3B2O6,4.8224
Ca1B4O7,5.6352
Ca2B2O5,4.692
Ca2B2O5,4.7391
Ca1B2O4,5.1925
Ca1B2O4,5.4568
Ca1B4O7,6.3172
Ca1B2O4,6.0656
Ca1B1O3,0.4137
Ca2B5Os3,0.0059
Ca1B2S4,3.0095
Cd1B2F8,5.4624
Cd3B2O6,1.4544
Cd2B2O5,2.4657
Cd1B4O7,3.9877
Cd1B2O4,3.3861
Cd1B2O4,3.3431
Cd1B2O4,2.7302
Y1Cd1B1,0.4766
Ce1Fe4B4,0.0391
Ce1B1O3,0.0045
Ce1B3O6,0.1945
Ce1B1O3,0.0056
Ce1B3O6,0.2539
Cs1B6Cl6,3.2599
B1Cl1F6,3.3031
B1N3Cl2,3.2518
B1N1Cl2,2.8083
B1N2Cl1,0.4741
B2P1Cl2,3.8135
Tl1B1Cl2,0.7963
Gd1Co1B4,0.0256
Co1B4O7,3.1117
Co3B2O6,2.1624
Co2B2O5,2.6104
Co1B2O4,2.4262
Co1B1O3,1.0667
Er1Cr1B4,0.1704
Cr3B1O6,1.602
Y1Cr1B4,0.158
Cs1B1F4,7.7984
Cs1B6H6,5.3814
Cs1B3H8,5.9585
Cs1B3O5,5.304
Cs1B1O2,3.8457
Cs3B1O3,2.4689
Cs1B5O8,5.9417
Cs1B5O8,5.8969
Cs1B5O8,5.9528
Cs3B1P2,1.6973
Cs3B1S3,2.5301
Cs1B1Se3,1.701
Cu1B4O7,0.1877
Cu1B1S2,1.7434
Cu1B1Se2,1.4842
Ti1Cu1B1,0.1974
Zr1Cu1B1,0.292
Dy1B4Mo1,0.2845
Dy1B3O6,5.561
Dy1B1O3,5.3594
Dy1B1O3,4.514
Er1B3O6,5.668
Er1B1O3,5.1314
Er1B1O3,4.5583
Eu1B4Ir4,0.0383
Eu1B2Ir2,0.0126
Eu1B4O7,2.0365
Eu3B2O6,0.3684
Eu1B2O4,0.4831
Eu1B1Pd3,0.1606
Eu1B2Rh3,0.0129
Eu1B2S4,0.9983
In1B1F4,4.532
K1B1F4,7.9327
K1B1F4,7.3125
Li1B1F4,8.246
Na1B1F4,7.8412
Rb1B1F4,7.737
B1S1F7,4.9968
Sn2B1F7,4.4008
Sr1B2F8,8.1452
Fe1B1O3,1.6989
Fe2B2O5,3.4246
Fe3B1O5,0.9327
Fe2B1O4,1.0548
Fe1B2O4,4.0104
Fe2B1O4,1.1188
Fe1B2O4,3.4424
Fe3B1O6,1.7877
Fe1B1O3,0.5711
Ga1B1H6,4.8941
Ga1B1N2,3.1409
Ga1B3N4,3.7109
Ga1B1O3,3.8603
Gd1B3O6,2.7361
Gd1B1O3,2.2427
Gd1B1O3,2.0483
Gd1B1Pd3,0.0238
Gd1B2Rh3,0.0333
K1B1H4,6.0978
K1B6H6,5.5284
K1B3H3,5.0099
K1B5H5,4.6289
K1B1H4,1.4027
Li1B1H4,6.8115
Li1B1H4,5.4652
Li1B1H4,6.6855
Li1B1H4,5.6481
Li3B1H6,0.874
Li1B1H2,0.8639
Mg1B2H8,5.7042
B1H6N1,6.0656
B1H4N1,5.9404
B1H6N1,5.9559
B1H6N1,5.9101
B1H6N1,5.9642
B1H2N1,5.2948
B3H7N1,1.4863
B5H4N2,2.8741
Na1B6H6,5.6439
Na1B1H4,6.3249
Na1B1H4,6.5862
Na1B1H4,6.2163
Na1B1H4,5.4559
B1H1O2,6.0887
B1H3O3,6.0656
B1H1O2,7.0739
B1H3O3,6.0809
Rb1B6H6,5.5308
Rb1B5H5,4.0007
Tl1B6H6,4.527
Zn1B2H8,4.2519
Hf1B2O5,4.411
Hg1B4O7,2.5834
Hg1B4O7,1.7957
Y1Hg1B1,0.3564
Ho1B1O3,5.4365
Ho1B1O3,5.0979
Ho1B1O3,5.367
Ho1B1O3,5.0472
Ho1B1O3,4.5448
Ho1B4W1,0.2714
In1B1O3,2.6518
Sc3In1B1,0.1219
Zn1B2Ir2,0.0408
K3B1N2,1.5852
K1B1O2,4.1301
K1B5O8,5.3412
K2B4O7,4.821
K1B3O5,5.2253
K1B5O8,4.1303
K1B5O8,4.2839
K3B1P2,1.666
K3B1S3,2.7148
K1B1S2,2.7676
K2B2S7,2.4971
K2B2Se7,1.6237
La3B2N5,1.171
La1B1N2,2.1728
La1B1O3,4.5007
La1B3O6,4.542
La1B1O3,4.0196
La1B3O6,4.1959
La2Re3B7,0.0445
Li3B1N2,3.3676
Li3B1N2,3.4548
Li3B1N2,3.3011
Li3B1O3,5.1473
Li1B1O2,5.226
Li2B4O7,5.668
Li1B1O2,7.2811
Li1B3O5,6.3532
Li4B2O5,4.971
Li1B3O5,6.1397
Li5B1O4,5.3981
Li5B1O4,5.1849
Li5B1O4,5.3947
Li8B2O7,5.5096
Li4B2O5,4.8277
Li5B1O4,5.3519
Li2B4O7,3.7379
Li1B2O3,0.8525
Li3B1S3,3.0495
Li2B2S5,2.4427
Li2B2Se5,1.6311
Li1Si1B6,1.6762
Lu1B1O3,5.3023
Lu1B1O3,4.2791
Mg3B1N3,1.3798
Mg3B2O6,5.143
Mg2B2O5,5.1536
Mg1B4O7,5.7433
Mg2B2O5,5.0851
Mn2B1O4,0.5519
Mn3B2O6,2.0333
Mn1B4O7,4.9226
Mn3B1O5,0.057
Mn1B4O7,5.0303
Mn1B1O3,0.0035
Y1B4Mo1,0.2822
Na3B1N2,1.6479
Pr1B1N2,2.1062
Sr3B3N5,2.2444
Sr3B1N3,0.4152
Sr3B2N4,2.424
Sr1B2N2,3.4007
Na2B4O7,4.618
Na4B2O5,3.6854
Na1B1O2,4.1074
Na1B3O5,5.2407
Na3B1O3,2.9456
Na1B3O5,5.2573
Na2B4O7,5.1481
Na2B4O7,5.4224
Na3B1P2,1.8442
Na2B2S5,2.5898
Na2B2Se7,1.5493
Nb1B1O4,2.4711
Nd1B3O6,5.2549
Nd1B1O3,5.0609
Nd1B3O6,5.4208
Ni3B2O6,3.0436
Ni1B2O4,3.6793
Ni1B4O7,3.3555
B1P1O4,7.2565
B1P1O4,6.9876
B2Pd1O4,0.7786
Pr1B1O3,4.652
Pr1B3O6,5.3949
Rb2B4O7,4.594
Rb1B5O8,5.9404
Rb1B3O5,5.6999
Rb1B3O5,5.2118
Rb1B3O5,5.6294
B1Sb1O3,3.6549
B1Sb1O3,3.762
Sc1B1O3,4.118
B2Se2O7,3.9418
Sm1B1O3,5.1718
Sm1B3O6,5.3245
Sm1B1O3,4.3574
Sn1B1O3,2.3724
Sr2B2O5,4.283
Sr1B2O4,4.9456
Sr3B2O6,4.3938
Sr1B4O7,7.117
Sr1B4O7,5.1759
Sr1B2O4,6.3751
Tb1B3O6,5.5089
Tb1B3O6,4.9842
Tb1B3O6,5.2947
B2Te1O5,3.3161
B2Te1O6,2.5855
Tl1B5O8,5.1834
Tl2B4O7,3.3162
Tl3B1O3,1.303
Tm1B3O6,5.7593
Tm1B1O3,2.3564
Tm3B3O7,1.2771
V1B1O4,2.9005
V1B1O3,1.8227
V1B1O4,2.6343
V1B1O4,2.2086
Y1B1O3,5.1669
Y1B3O6,5.447
Y1B3O6,5.245
Y1B1O3,4.7653
Y1B1O3,4.4789
Y1B1O3,4.5918
Y3B3O7,1.1745
Yb1B4O7,6.9965
Yb1B1O3,0.1506
Zn1B4O7,4.6601
Zn3B2O6,2.7833
Zn3B2O6,2.7175
Zn3B2O6,2.6968
Zn1B4O7,5.3743
Zn4B2O7,1.8634
Zr1B2O5,3.7946
Rb3B1P2,1.5884
B1P1S4,2.2625
B2Pb2S5,1.6624
Rb1B1S3,2.3887
Rb3B1S3,2.5462
Rb2B2Se7,1.7001
Rb1B1Se3,1.6415
Sm1B1S3,2.389
Sr1B2S4,2.8242
Tb1B1S3,2.3293
Tl1B1S2,1.7606
Tl3B1S3,1.4222
Tl1B1S3,1.7904
Tl3B1Se3,1.226
Tl2B2Se7,1.2811
Tl1B1Se3,0.9044
Ba1Be1F4,7.5543
Ba1Be2N2,1.1717
Ba2Bi1Br1,0.5974
Ba1Cu1Bi1,0.0166
Ba2Hg1Bi1,0.0095
Ba2Bi1I1,0.6685
Ba1Mg2Bi2,0.3968
Ba3Bi1N1,0.6466
Ba1Na1Bi1,0.2355
Ba2Bi2O5,2.0078
Ba1Bi4O7,2.3709
Ba1Bi4O7,2.0387
Ba1Bi1O3,0.1011
Ba1Bi2S4,0.9466
Ba1Bi1Se3,0.7321
Ba2Zn1Bi2,0.2496
Ba1Br1Cl1,4.4843
Ba1Br1Cl1,4.9937
Ba1Br1Cl1,4.9288
Cs1Ba2Br5,4.3948
Ba1Br1F1,4.8829
Ba1Fe2Br8,0.8935
Ba1H1Br1,3.2114
Ba1La2Br8,3.4682
Ba1La1Br5,2.9074
Ba1La2Br8,3.1249
Ba1La1Br5,2.723
Ba1La1Br5,3.1518
Ba1La1Br5,2.8966
Ba2Br1N1,1.1377
Ba4Br6O1,4.1634
Ba1Br2O6,4.1943
Ba2Br2O1,3.3041
Ba1Br2O6,4.3347
Ba3Br2O2,2.2005
Ba3Br2O2,2.3516
Ba3Br2O2,2.2906
Ba4Br6O1,3.3563
Ba1Br2O1,0.7176
Ba2P7Br1,1.7553
Ba2Sb1Br1,0.7463
Ba4Si3Br2,0.3695
Ba2Y1Br7,3.8349
Ba2Y1Br7,3.8551
Ba2Y1Br7,3.9627
Ba2Y1Br7,3.6402
Ba1Y1Br5,3.8004
Ba1Y1Br5,3.6748
Ba1Y1Br5,3.8401
Ba1Y1Br5,3.1242
Ba2Y1Br7,3.9604
Ba1Y1Br5,3.819
Ba2Y1Br7,3.213
Ba2Y1Br7,3.3024
Ba1Y2Br8,4.0925
Ba3Ge4C2,0.4882
Ba1C1N2,2.9398
Ba1C1N2,2.247
Ba1C4N6,1.0745
Ba1C1O3,4.4638
Ba1C1O3,4.4099
Ba1C1O3,4.0178
Ba1C1O3,4.3419
Ba1C1O3,4.1101
Ba1C1O3,3.9622
Ba1C4O4,2.5917
Ba1Si1C1,0.2552
Ba1Ca1Cd2,0.0333
Ba1Ca1Ge1,0.1959
Ba1Ca1Hg2,0.0426
Ba2Ca1I6,3.5732
Ba1Ca1I4,3.7974
Ba2Ca1I6,3.9865
Ba1Ca2I6,3.8624
Ba1Ca1I4,3.441
Ba2Ca1I6,3.4939
Ba2Ca1I6,3.8212
Ba2Ca1I6,3.6188
Ba2Ca1I6,3.8265
Ba2Ca1I6,3.4988
Ba3Ca1I8,2.949
Ba2Ca1I6,3.551
Ba1Ca2I6,3.499
Ba1Ca2I6,3.8794
Ba1Ca1I4,3.3934
Ba1Ca1I4,3.2691
Ba1Ca2I6,3.6691
Ba1Ca1I4,3.6308
Ba2Ca1I6,3.4758
Ba1Ca2I6,3.6008
Ba1Ca1I4,3.14
Ba1Ca1I4,3.3672
Ba1Ca1I4,2.8307
Ba1Ca2I6,3.6368
Ba1Ca1I4,3.5645
Ba1Ca1I4,3.4196
Ba2Ca1I6,2.9464
Ba1Ca1I4,3.0154
Ba1Ca1I4,3.7585
Ba1Ca2I6,3.3113
Ba1Ca2I6,3.3853
Ba1Ca1I4,3.0008
Ba1Ca2I6,3.0889
Ba1Li2Ca1,0.0794
Ba1Na2Ca1,0.5852
Ba1Ca1O2,2.8163
Ba1Ca3O4,2.3279
Ba1Ca1Pb1,0.2756
Ba1Ca1Si1,0.1796
Ba1Ca1Sn1,0.2466
Ba1Sr2Ca1,0.304
Ba1Sr1Ca2,0.4124
Ba2Sr1Ca1,0.0608
Ba1Ca1Tl2,0.3883
Ba1Cd1Hg2,0.2617
Ba2Cd1Hg1,0.1073
Ba2Li1Cd1,0.1341
Ba2Mg1Cd1,0.0739
Ba2Na1Cd1,0.1715
Ba1Cd2P2,0.6793
Ba2Cd1S3,2.0868
Ba1Cd1S2,1.7353
Ba2Cd1Se3,1.5746
Ba1Sr1Cd2,0.2978
Ba2Cd1Te3,1.402
Ba1Ce1N2,0.6481
Ba1Ce1O3,2.2112
Ba1Ce1O3,2.2279
Ba1Ce1O3,2.308
Ba2Co1Cl6,0.3527
Ba2Er1Cl7,4.9184
Ba1Cl1F1,5.4426
Ba2Cl1F3,5.7401
Ba2Gd1Cl7,2.4275
Ba1Gd1Cl5,1.944
Ba1H1Cl1,3.4827
Ba2La1Cl7,4.1371
Ba1La2Cl8,3.6782
Ba2La1Cl7,3.3139
Ba1La2Cl8,3.9733
Ba1La1Cl5,3.4196
Ba1La1Cl5,3.955
Ba1La1Cl5,4.1962
Ba1La1Cl5,3.9903
Ba1La1Cl5,3.5974
Ba2La1Cl7,4.2082
Ba1La1Cl5,4.2395
Ba1La1Cl5,3.4182
Ba1La1Cl5,3.4009
Ba2La1Cl7,4.4004
Ba2La1Cl7,3.6471
Ba1N3Cl1,4.0774
Ba2N1Cl1,1.1077
Ba4Cl6O1,4.3647
Ba1Cl2O6,5.2687
Ba3Cl2O2,2.4989
Ba1Cl1O3,0.095
Ba2P1Cl1,1.2595
Ba2P7Cl1,1.5637
Ba1Pd1Cl4,1.2578
Ba2Sc1Cl7,3.6349
Ba2Sc1Cl7,3.6333
Ba2Y1Cl7,4.7083
Ba2Y1Cl7,4.6338
Ba1Y1Cl5,4.5011
Ba1Y1Cl5,4.652
Ba2Y1Cl7,4.5822
Ba2Y1Cl7,4.5625
Ba2Y1Cl7,3.9884
Ba2Y1Cl7,4.1943
Ba1Zn1Cl4,4.6276
Ba1Zn1Cl4,4.5948
Ba1Co1F4,2.9911
Ba1Co1N1,0.0262
Ba2Co1O4,1.2213
Ba1Co1O2,0.3967
Ba1Co4O7,0.0001
Ba1Cr1F5,3.5888
Ba5Cr1N5,0.1228
Ba1Cr2O4,2.5408
Ba1Cr1O4,2.9572
Ba2Cr1O4,1.7989
Ba3Cr1O5,1.5029
Ba1Cr4O7,0.8138
Ba1Cr4S7,0.1196
Ba3Cr2S6,0.6308
Cs1Ba1I3,3.6246
Cs2Ba2O3,1.6482
Cs2Ba1O2,1.4555
Cs2Ba2O3,1.4585
Ba2Cu1F6,0.8402
Ba1Cu1N1,0.0064
Ba2Cu2O5,0.7701
Ba1Cu4S3,0.0379
Ba1Cu2S2,0.9028
Ba1Cu2S2,0.506
Ba1Cu4S3,0.4519
Ba1Cu2Se2,0.4863
Ba1Cu2Se2,0.3793
Ba1Cu2Te2,0.6007
Ba1Dy2Te4,0.7862
Ba1Er2Te4,0.7849
Ba1Fe1F5,3.7032
Ba1Fe1F4,3.3521
Ba1Fe1F5,3.3512
Ba1Ga1F5,5.7568
Ba1Ge1F6,5.7917
Ba1H6F8,7.5667
Ba1I1F1,4.0263
Ba1Li1F3,6.5643
Ba1Mg1F4,6.8005
Ba1Mg1F4,6.9843
Ba1Mn1F5,1.7942
Ba1Mn1F4,3.2598
Ba1Mo1F7,2.0489
Ba2N1F1,1.0924
Ba2N1F1,0.4005
Ba1Ni1F6,0.4727
Ba1Ni1F4,4.6572
Ba4O1F6,3.6156
Ba4O1F6,3.6833
Ba1Pb1F6,3.0264
Ba1Pd1F4,1.3729
Ba2Pd1F6,1.6787
Ba2Pr1F7,6.2167
Ba1Sb1F5,4.7525
Ba1Sb1F7,2.6294
Ba1Si1F6,7.4159
Ba1Sn1F6,4.9883
Ba1Sn1F4,3.6679
Ba1Ta1F7,5.691
Ba1Te1F6,4.8353
Ba1Ti1F6,4.316
Ba1Tm2F8,7.2347
Ba1W1F7,3.276
Ba1Y2F8,7.0525
Ba1Y1F5,7.1878
Ba2Y1F7,6.9627
Ba1Y1F5,6.6615
Ba1Y1F5,6.8951
Ba1Y1F5,6.4487
Ba2Y1F7,6.2373
Ba1Y1F5,6.9081
Ba1Y1F5,6.6185
Ba2Y1F7,6.5535
Ba1Y1F5,6.5296
Ba1Y2F8,6.276
Ba1Y2F8,6.9301
Ba1Y1F5,6.6784
Ba1Zn1F4,4.5489
Ba2Zn1F6,4.7324
Ba1Zr1F6,6.2669
Ba2Zr1F8,5.9374
Ba2Fe2O5,1.4173
Ba1Fe2O4,1.7429
Ba2Fe1O4,0.4064
Ba1Fe2O4,1.9016
Ba1Fe2O4,1.75
Ba1Fe4O7,1.6662
Ba1Fe4O7,1.2527
Ba5Ga6H2,0.3735
Ba1Ga1H5,3.2078
Ba3Ga1N3,0.2805
Ba3Ga2N4,1.4937
Ba3Ga3N5,1.4176
Ba1Ga4O7,2.3813
Ba4Ga2O7,3.2427
Ba3Ga1P3,0.601
Ba1Ga2P2,1.3799
Ba1Ga2S4,2.8999
Ba1Ga4S7,2.58
Ba3Ga2S6,2.6755
Ba2Ga2S5,2.7747
Ba4Ga2S7,2.6305
Ba5Ga2S8,2.5327
Ba1Ga2Sb2,0.0278
Ba3Ga1Sb3,0.3419
Ba1Ga2Te4,0.5282
Ba2Tl1Ga1,0.6317
Ba2Zn1Ga1,0.0252
Ba1Gd2O4,2.7986
Ba2Hg1Ge1,0.1761
Ba2Li1Ge3,0.097
Ba1Ge1N2,2.4829
Ba2Ge1O4,4.1764
Ba3Ge1O5,2.9102
Ba1Ge1O3,3.5403
Ba3Ge1O1,0.3709
Ba2Ge1O4,3.7083
Ba2Ge1O4,3.9678
Ba3Ge1O5,2.7592
Ba3Ge1O5,2.69
Ba2Ge1O4,3.4905
Ba3Ge1O5,2.5962
Ba1Ge2O5,2.7735
Ba2Ge1O4,2.9627
Ba1Ge2O5,1.8132
Ba1Ge1O3,1.429
Ba2Ge1P2,0.6755
Ba1Ge2P2,0.5134
Ba4Ge1P4,1.0182
Ba1Ge2S5,2.1837
Ba2Ge1S4,2.2853
Ba2Ge2Se5,1.2918
Ba2Ge1Se4,1.4002
Ba2Ge2Te5,0.6241
Ba1H1I1,2.8161
Ba2H3I1,2.24
Ba1Li1H3,1.1987
Ba2Mg1H6,2.8864
Ba1H8O5,4.8099
Ba1H4O3,4.2591
Ba1H2O2,4.5412
Ba1H4O6,0.0027
Ba1H4O3,3.9287
Ba1H4O3,3.9758
Ba1H2O2,3.745
Ba1H4O3,4.2073
Ba1H2O2,4.3643
Ba1H2O2,4.2449
Ba1H2O2,3.2575
Ba1H4O6,0.1235
Ba1H2O2,4.4399
Ba1H2O2,4.109
Ba1H4O6,0.2549
Ba1H2O2,4.2059
Ba1H2O2,4.4174
Ba1H4O6,2.7803
Ba1H2O4,2.9433
Ba1H4O6,2.4825
Ba1H4O6,2.5448
Ba2H6Pt1,1.7507
Ba1Re1H7,0.4584
Ba2H6Ru1,1.8699
Ba3Hf2O7,3.5653
Ba2Hf1O4,3.437
Ba1Hf1O3,3.5309
Ba4Hf1O6,3.0638
Ba6Hf1O8,2.4348
Ba2Hf1S4,0.8648
Ba1Hf1S3,1.2421
Ba1Hf1S3,0.8665
Ba1Hf1S3,1.1347
Ba2Li1Hg1,0.1302
Ba1Mg1Hg2,0.1448
Ba2Mg1Hg1,0.068
Ba1Hg1O2,2.1654
Ba1Hg1S2,1.1569
Ba2Hg1S3,1.3556
Ba2Sn1Hg1,0.0498
Ba1Sn1Hg1,0.0768
Ba1Sn1Hg2,0.1883
Ba1Sr1Hg2,0.3051
Ba2Zn1Hg1,0.0308
Ba1Ho2O4,3.2309
Ba1Ho2O4,1.0061
Ba1Ho2Te4,0.785
Ba2La1I7,2.5893
Ba1La1I5,2.3535
Ba1La1I5,2.1331
Ba2La1I7,2.8927
Ba2La1I7,2.3073
Ba1La1I5,2.6983
Ba2La1I7,1.8566
Ba1La1I5,2.6608
Ba1La1I5,2.4932
Ba1La1I5,2.5826
Ba1La2I8,2.1541
Ba1La1I5,2.5999
Ba1I2O6,3.5562
Ba4I6O1,3.9788
Ba2I2O1,3.1127
Ba2Sb1I1,0.8293
Ba3Si1I2,0.2504
Ba3Sr1I8,3.2338
Ba2Sr1I6,3.4322
Ba1Sr2I6,3.9768
Ba2Sr1I6,3.64
Ba2Sr1I6,4.0581
Ba2Sr1I6,2.9057
Ba2Sr1I6,3.5958
Ba1Sr2I6,3.764
Ba2Sr1I6,3.9756
Ba1Sr1I4,3.3458
Ba2Sr1I6,3.7685
Ba1Sr1I4,3.6362
Ba1Sr2I6,3.6058
Ba1Sr2I6,3.2767
Ba1Sr3I8,3.1392
Ba2Sr1I6,3.3889
Ba2Sr1I6,3.6619
Ba1Sr1I4,2.8453
Ba1Sr1I4,3.4431
Ba1Sr2I6,3.6181
Ba2Sr1I6,3.0347
Ba1Sr2I6,3.2552
Ba1Sr1I4,3.4688
Ba1Sr1I4,3.6126
Ba1Sr1I4,3.4665
Ba1Sr1I4,3.2505
Ba1Sr1I4,3.171
Ba2Sr1I6,2.5702
Ba1U1I6,0.2242
Ba2Y1I7,2.9089
Ba2Y1I7,2.9006
Ba2Y1I7,3.0155
Ba1Y1I5,2.9223
Ba2Y1I7,2.638
Ba1Y1I5,2.7161
Ba1Y1I5,2.7575
Ba2Y1I7,2.4651
Ba1Y1I5,2.7805
Ba1Y1I5,2.6642
Ba1Y1I5,2.1035
Ba2Li1In1,0.0946
Ba2Na1In1,0.6849
Ba3In2O6,0.882
Ba2In2O5,0.919
Ba1In2O4,1.6657
Ba2In2O5,0.7034
Ba2In2O5,0.4077
Ba4In2O7,1.3671
Ba3In2P4,1.1092
Ba1In2P2,0.4954
Ba2In5P5,0.3087
Ba1In2S4,2.3251
Ba2In2S5,1.9866
Ba1In2Se4,1.687
Ba2In2Se5,1.3945
Ba1In2Te4,0.9628
Ba1In2Te4,0.865
Ba2Tl1In1,0.6061
K1Ba1P1,1.1622
K2Ba3Sb4,0.4441
K1Ba1Sb1,0.903
Ba1La2O4,3.5481
Ba1La2O4,3.1295
Ba1La2O4,2.683
Ba2La2O5,2.4337
Ba1La2S4,2.0684
Ba1La2Se4,1.7602
Ba2Li1Mg1,0.0481
Ba2Na1Li1,0.5001
Ba1Li4O3,3.3976
Ba1Li1P1,0.9631
Ba1Li1P1,0.6982
Ba1Li2Pb1,0.2986
Ba1Li1Sb1,0.6947
Ba3Li4Sb4,0.0516
Ba2Li1Si3,0.0923
Ba1Li2Sn1,0.3309
Ba1Sr1Li2,0.3314
Ba2Li1Tl1,0.6391
Ba1Lu2O4,3.2521
Ba1Lu2O4,2.9254
Ba1Lu2S4,1.7477
Ba2Na1Mg1,0.1973
Ba2Mg1O3,3.5116
Ba1Mg1O2,3.1592
Ba1Mg3O4,0.7769
Ba1Mg2P2,1.1366
Ba1Mg1Si1,0.1246
Ba1Sr1Mg2,0.2182
Ba2Mg1Tl1,0.1375
Ba1Mg1Tl2,0.4052
Ba2Mg1Zn1,0.0682
Ba1Mn1O3,2.0603
Ba2Mn1O3,1.6203
Ba3Mn2O8,1.5797
Ba1Mn4O8,0.3572
Ba1Mn2O3,0.4586
Ba1Mn1O3,0.7428
Ba1Mn1O3,0.8953
Ba1Mn1O3,0.8679
Ba1Mn1O3,1.9175
Ba1Mn1O3,0.8081
Ba1Mn1O3,0.6737
Ba1Mn4O8,0.0085
Ba1Mn2O8,1.8622
Ba1Mn3O6,0.0041
Ba1Mn2O8,1.9074
Ba2Mn1S3,1.1095
Ba1Mn1S2,0.4367
Ba2Mn1Se3,1.0675
Ba2Mn1Te3,0.8252
Ba3Mo1N4,1.8505
Ba3Mo1N4,1.2879
Ba1Mo1O4,4.0822
Ba1Mo4O7,0.0161
Ba2Nb1N3,1.9578
Ba1Nb2N4,2.1708
Ba1N2O6,3.6154
Ba1N2O4,2.3587
Ba2N1O6,0.2114
Ba1Re1N3,1.7855
Ba1Re2N4,0.086
Ba3Sb1N1,0.7075
Ba1Si6N8,3.2548
Ba1Si1N2,2.9202
Ba2Si5N8,2.8813
Ba5Si2N6,1.4009
Ba1Ta2N4,2.6931
Ba2Ta1N3,2.0175
Ba5Ti2N6,1.4778
Ba2V1N3,1.3896
Ba1V2N4,1.5875
Ba3W1N4,1.965
Ba1W1N3,1.505
Ba3W1N4,1.5479
Ba1W1N3,1.0862
Ba2Zn1N2,0.4797
Ba1Zr1N2,0.9972
Ba1Na6O4,1.5878
Ba1Na6O4,1.6482
Ba1Na4O3,1.5876
Ba1Na2O2,1.5152
Ba2Na2O3,1.9318
Ba2Na2O3,2.3032
Ba1Na2O2,1.6583
Ba1Na4O3,1.3922
Ba1Na2Pb1,0.122
Ba2Na1Pb1,0.1377
Ba1Na1Sb1,0.7372
Ba1Na2Si4,1.0117
Ba2Na1Sn1,0.1644
Ba1Na2Sn1,0.1471
Ba1Na2Sr1,0.5688
Ba2Na1Tl1,0.6604
Ba1Na1Tl2,0.0034
Ba3Nb2O8,4.4997
Ba1Nb2O6,2.6143
Ba1Nb2O6,2.9041
Ba1Nb2O6,1.7859
Ba1Nd2O4,3.0973
Ba1Nd2S4,1.6426
Ba1Nd2S4,1.9232
Ba1Nd2Se4,1.5999
Ba1Ni1O3,1.4755
Ba1Ni1O3,1.4692
Ba3Ni1O4,2.29
Ba1Ni1O2,2.3034
Ba1Ni4O7,0.9856
Ba3P2O8,5.1417
Ba1P2O6,5.4349
Ba2P2O7,5.1483
Ba4P2O1,1.0424
Ba2P2O7,4.5725
Ba2Pb1O4,1.2232
Ba1Pb1O3,0.1925
Ba1Pb1O3,0.3054
Ba1Pb1O3,0.0266
Ba4Pd1O6,1.2879
Ba2Pd1O3,0.0175
Ba4Pt1O6,1.8016
Ba1Pt1O7,1.4381
Ba1S1O4,5.9507
Ba1S1O3,4.447
Ba1S1O4,4.5086
Ba1S1O2,1.513
Ba1Sb2O6,2.8606
Ba4Sb2O1,0.6382
Ba3Sb2O6,2.9311
Ba2Sb2O5,2.3822
Ba3Sb2O1,0.3329
Ba2Sb2O7,0.9782
Ba1Sb4O7,1.2605
Ba1Sc2O4,3.8718
Ba2Sc2O5,2.71
Ba2Sc2O5,2.8133
Ba2Sc2O5,1.5365
Ba2Sc2O5,3.2206
Ba1Se1O3,3.8804
Ba1Se2O5,3.3781
Ba1Se1O4,3.6982
Ba3Si1O1,0.4217
Ba2Si1O4,4.6289
Ba1Si2O5,4.7566
Ba1Si1O3,4.542
Ba2Si3O8,4.5119
Ba2Si3O8,4.4855
Ba1Si2O5,4.8574
Ba3Si1O5,3.5354
Ba1Si1O3,4.5345
Ba1Si1O3,4.6051
Ba1Si1O3,3.0377
Ba1Si1O3,2.1249
Ba1Si1O3,0.9385
Ba1Sm2O4,3.1428
Ba1Sn1O3,0.3724
Ba1Sn4O7,0.0615
Ba3Sr1O4,2.1819
Ba3Sr4O7,2.4311
Ba1Sr3O4,2.5111
Ba1Sr1O2,2.2522
Ba1Ta2O6,2.061
Ba2Ta2O7,2.9229
Ba1Ta2O6,3.619
Ba1Tb2O4,3.2026
Ba1Tb1O3,0.008
Ba1Te1O4,2.1894
Ba1Te1O3,2.7125
Ba2Te1O1,1.7805
Ba1Te2O6,1.7482
Ba1Te1O3,3.1676
Ba1Th1O3,3.2009
Ba1Ti1O3,2.5441
Ba2Ti1O4,4.1473
Ba1Ti1O3,2.293
Ba2Ti1O4,4.2635
Ba1Ti1O3,2.3004
Ba1Ti1O3,1.727
Ba1Ti1O3,1.667
Ba1Ti2O5,2.1457
Ba3Ti2O7,2.3732
Ba2Ti1O4,1.8824
Ba2Ti3O8,0.9199
Ba1Ti1O3,0.3567
Ba1Ti1O3,0.0144
Ba2Tl2O5,0.808
Ba1Tl2O4,0.2973
Ba1Tl2O4,0.0092
Ba1Tl2O4,0.0679
Ba1Tm2O4,3.2297
Ba1Tm2O4,3.838
Ba1Tm2O4,2.8879
Ba1U1O4,2.1144
Ba1U2O7,2.0533
Ba1V2O6,2.8551
Ba2V1O4,1.5245
Ba1V3O8,1.8698
Ba1V4O7,1.18
Ba2W1O5,3.1515
Ba1W1O4,4.8822
Ba1W1O4,4.7964
Ba1W1O4,3.6521
Ba1W1O4,4.703
Ba1W1O4,2.6941
